name,freq,rank
org.apache.hive.hcatalog.api.TestHCatClient_java,13,295
org.apache.hadoop.hive.ql.io.TestRCFile_java,13,295
org.apache.hadoop.hive.ql.plan.FetchWork_java,13,295
org.apache.hadoop.hive.ql.exec.spark.SparkPlanGenerator_java,13,295
org.apache.hadoop.hive.ql.exec.ColumnStatsTask_java,13,295
org.apache.hadoop.hive.ql.udf.UDFToShort_java,13,295
org.apache.hadoop.hive.ql.exec.FunctionTask_java,13,295
org.apache.hadoop.hive.ql.plan.ExplainWork_java,13,295
org.apache.hadoop.hive.ql.io.sarg.TestSearchArgumentImpl_java,13,295
org.apache.hadoop.hive.ql.exec.vector.expressions.CastDecimalToDecimal_java,13,295
org.apache.hadoop.hive.ql.plan.MapredWork_java,13,295
org.apache.hadoop.hive.ql.exec.vector.expressions.CastStringToDecimal_java,13,295
org.apache.hadoop.hive.ql.io.HiveContextAwareRecordReader_java,13,295
org.apache.hadoop.hive.common.type.HiveDecimal_java,13,295
org.apache.hadoop.hive.ql.lockmgr.DbLockManager_java,13,295
org.apache.hadoop.hive.ql.exec.vector.expressions.IfExprLongColumnLongColumn_java,13,295
org.apache.hadoop.hive.ql.exec.vector.VectorGroupKeyHelper_java,13,295
org.apache.hadoop.hive.ql.optimizer.GroupByOptimizer_java,13,295
org.apache.hadoop.hive.ql.txn.compactor.TestWorker_java,12,321
org.apache.hive.hcatalog.templeton.tool.JobSubmissionConstants_java,12,321
org.apache.hadoop.hive.llap.daemon.impl.TaskExecutorTestHelpers_java,12,321
org.apache.hadoop.hive.ql.exec.SparkHashTableSinkOperator_java,12,321
org.apache.hadoop.hive.ql.exec.vector.reducesink.VectorReduceSinkCommonOperator_java,12,321
org.apache.hadoop.hive.ql.exec.vector.expressions.DecimalColumnInList_java,12,321
org.apache.hadoop.hive.ql.exec.vector.mapjoin.fast.VectorMapJoinFastTableContainer_java,12,321
org.apache.hadoop.hive.ql.io.rcfile.truncate.ColumnTruncateTask_java,12,321
org.apache.hadoop.hive.ql.optimizer.calcite.HiveCalciteUtil_java,12,321
org.apache.hadoop.hive.ql.plan.VectorGroupByDesc_java,12,321
org.apache.hadoop.hive.llap.cache.TestBuddyAllocator_java,12,321
org.apache.hadoop.hive.ql.exec.persistence.RowContainer_java,12,321
org.apache.hadoop.hive.llap.cache.TestOrcMetadataCache_java,12,321
org.apache.hadoop.hive.ql.optimizer.GenMRProcContext_java,12,321
org.apache.hadoop.hive.ql.exec.persistence.BytesBytesMultiHashMap_java,12,321
org.apache.hadoop.hive.ql.optimizer.ColumnPrunerProcCtx_java,12,321
org.apache.hadoop.hive.ql.udf.UDFToByte_java,12,321
org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd.SQLStdHiveAuthorizationValidator_java,12,321
org.apache.hadoop.hive.ql.history.HiveHistory_java,12,321
org.apache.hadoop.hive.metastore.api.StorageDescriptor_java,12,321
org.apache.hadoop.hive.ql.exec.vector.VectorDeserializeRow_java,12,321
org.apache.hadoop.hive.metastore.TestMetastoreVersion_java,12,321
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorExpression_java,12,321
org.apache.hadoop.hive.ql.exec.spark.SparkTask_java,12,321
org.apache.hadoop.hive.ql.exec.TestFunctionRegistry_java,12,321
org.apache.hadoop.hive.ql.exec.spark.HashTableLoader_java,12,321
org.apache.hadoop.hive.ql.exec.vector.expressions.aggregates.VectorUDAFCountMerge_java,12,321
org.apache.hadoop.hive.ql.exec.vector.VectorCopyRow_java,12,321
org.apache.hadoop.hive.ql.optimizer.calcite.RelOptHiveTable_java,12,321
org.apache.hadoop.hive.ql.exec.vector.VectorReduceSinkOperator_java,12,321
org.apache.hadoop.hive.common.type.TestHiveDecimal_java,12,321
org.apache.hadoop.hive.ql.ppd.ExprWalkerProcFactory_java,12,321
org.apache.hadoop.hive.ql.parse.ParseUtils_java,12,321
org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd.SQLStdHiveAccessController_java,12,321
org.apache.hive.service.cli.session.HiveSessionImplwithUGI_java,12,321
org.apache.hadoop.hive.ql.optimizer.calcite.translator.SqlFunctionConverter_java,12,321
org.apache.hadoop.hive.ql.history.TestHiveHistory_java,12,321
org.apache.hadoop.hive.ql.security.authorization.plugin.TestHiveAuthorizerCheckInvocation_java,12,321
org.apache.hadoop.hive.ql.plan.VectorMapJoinDesc_java,12,321
org.apache.hadoop.hive.ant.GenVectorCode_java,12,321
org.apache.hadoop.hive.metastore.api.Schema_java,12,321
org.apache.hadoop.hive.ql.exec.vector.TestVectorSelectOperator_java,12,321
org.apache.hadoop.hive.ql.optimizer.BucketMapJoinOptimizer_java,12,321
org.apache.hadoop.hive.llap.daemon.impl.TaskExecutorService_java,12,321
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorElt_java,12,321
org.apache.hive.common.util.HiveStringUtils_java,12,321
org.apache.hadoop.hive.serde2.objectinspector.ObjectInspectorConverters_java,12,321
org.apache.hadoop.hive.ql.parse.RowResolver_java,11,368
org.apache.hadoop.hive.ql.security.authorization.plugin.HiveOperationType_java,11,368
org.apache.hive.jdbc.HiveDatabaseMetaData_java,11,368
org.apache.hadoop.hive.ql.io.orc.TestRecordReaderImpl_java,11,368
org.apache.hadoop.hive.ql.security.authorization.AuthorizationPreEventListener_java,11,368
org.apache.hadoop.hive.ql.exec.vector.TestVectorFilterOperator_java,11,368
org.apache.hadoop.hive.ql.exec.vector.expressions.FuncDecimalToLong_java,11,368
org.apache.hadoop.hive.ql.optimizer.spark.SparkMapJoinOptimizer_java,11,368
org.apache.hadoop.hive.ql.exec.vector.expressions.LongScalarEqualLongColumn_java,11,368
org.apache.hadoop.hive.ql.exec.vector.expressions.LongScalarGreaterEqualLongColumn_java,11,368
org.apache.hadoop.hive.llap.daemon.impl.QueryTracker_java,11,368
org.apache.hadoop.hive.ql.exec.vector.expressions.StringScalarConcatStringGroupCol_java,11,368
org.apache.hadoop.hive.ql.io.orc.encoded.EncodedTreeReaderFactory_java,11,368
org.apache.hadoop.hive.ql.exec.TaskFactory_java,11,368
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorCoalesce_java,11,368
org.apache.hadoop.hive.ql.exec.vector.VectorHashKeyWrapper_java,11,368
